70150	15.246408	0.106884	1
8645	1.794093	0.269576	2
41288	2.997835	0.154520	1
50265	8.504885	0.249028	3
37396	11.811233	0.379521	3
39007	11.223807	0.156633	3
37133	2.662147	0.619686	1
13290	0.000000	1.292829	2
59373	0.214164	0.656386	1
46755	8.821385	0.848635	3
6206	1.933193	1.166204	2
12649	5.090402	0.301326	2
33193	10.160545	1.438714	3
41932	10.493362	0.034076	3
25703	6.278261	1.560288	3
49487	11.741318	0.190697	3
50233	3.457880	0.614621	1
70236	5.502085	1.146694	1
70609	3.925303	0.145956	1
42795	10.371388	0.896056	3
13310	4.341803	0.893976	2
18117	0.956284	0.586611	2
8590	7.269027	1.178659	2
45626	4.235078	0.221258	1
18725	10.347723	1.284690	3
65492	6.734041	0.784161	1
73267	11.083418	0.504184	1
32501	5.490960	1.451370	1
42630	9.054551	0.588961	3
28588	9.750327	1.120527	3
25460	0.000000	0.509948	1
78392	13.262366	0.834287	1
59801	6.721701	1.362451	1
30543	5.774225	1.619945	3
55853	10.340839	0.344197	3
45938	8.025434	0.274059	3
21951	0.563632	1.689932	2
16358	12.151692	1.429340	3
89017	17.002416	0.462106	1
77785	11.630155	1.393171	1
42682	7.195472	0.884720	3
3427	4.124262	0.089890	2
6573	6.726097	0.249063	2
48764	0.182265	0.214716	1
3245	6.865522	0.828358	2
44867	12.579011	0.428193	3
11651	3.859560	0.550470	2
12314	3.914184	1.085225	2
69570	11.423885	1.240224	1
83384	11.859804	0.013856	1
64518	8.533950	1.495723	1
43572	11.294183	1.584319	3
30643	9.137586	0.849932	3
70927	13.410705	0.080463	1
0	5.965193	1.144909	2
35636	3.244866	1.554393	1
70882	8.692681	0.660398	1
15236	1.350617	0.460569	2
12473	0.000000	0.212874	2
38480	0.831861	0.090407	1
72219	8.341716	0.017451	1
9556	3.192794	1.666396	2
16170	0.807675	1.475568	2
12533	3.932553	0.418936	2
43880	11.241783	0.262155	3
12391	1.232704	1.315927	2
38753	6.091342	1.478109	1
40767	3.137605	0.330203	1
25425	8.708310	0.948223	3
9757	7.771743	0.414579	2
67829	8.644966	1.141535	1
35994	10.919757	0.327598	3
0	4.522817	0.079482	2
44153	11.169083	1.434663	3
44283	11.938408	1.438121	3
74164	16.541944	0.803899	1
6019	0.000000	0.531929	2
9908	0.000000	0.462501	2
66834	9.182320	1.012927	1
19257	13.072193	0.086484	3
13282	2.249201	1.003698	2
522	1.190132	0.237168	2
71877	12.196058	0.606301	1
36616	14.835805	0.102219	3
10581	5.251984	1.449195	2
47008	0.011874	1.542084	1
33229	9.546979	1.143433	3
3319	1.962789	0.315318	2
20126	11.120614	0.019167	3
4767	1.973431	1.506447	2
40163	9.469632	0.134004	3
36520	3.914743	0.701985	1
27757	10.329123	1.273618	3
15696	8.069492	0.843179	3
66603	4.953200	1.179920	1
48755	9.992598	1.506092	3
70327	13.987331	0.196036	1
9260	1.765023	1.473891	2
33661	10.078544	0.116192	3
11191	0.000000	0.698744	2
79780	9.788471	1.597762	1
12566	0.000000	1.416828	2
25430	6.182923	0.571768	3
34535	9.399987	1.699386	3
44564	9.590534	0.541904	3
54953	9.560992	0.403709	3
34865	7.453564	0.959921	3
14430	3.651150	1.382820	2
76249	7.205948	1.532173	1
11948	0.728541	0.335807	2
25996	6.392925	1.150865	1
7359	0.451233	1.451025	2
66663	11.876446	1.085673	1
30774	13.920878	1.092418	3
30934	4.726010	1.104243	1
34953	10.627417	1.508935	3
74703	7.590142	1.235078	1
12237	2.413769	0.800284	2
46424	3.540154	0.927784	1
7041	0.000000	0.826261	2
20788	12.044110	1.139899	3
9302	3.941676	0.218203	2
66094	1.955872	1.654334	1
81931	8.602212	0.011031	1
17636	2.426226	1.292797	2
31436	10.364075	0.822165	3
18140	6.418202	0.285985	2
69844	13.267452	1.511328	1
64902	7.670502	0.363891	1
17026	0.000000	0.534726	2
8439	0.630706	1.649704	2
7107	2.489014	1.592559	2
27158	4.111498	1.482772	1
40147	8.017091	0.858799	3
57199	2.214195	1.675973	1
35680	11.888940	0.821988	3
33478	1.031610	0.513435	1
32587	8.760557	1.031847	3
67688	12.791090	1.692144	1
34270	10.664379	0.396701	3
70220	8.858250	1.506885	1
16222	0.000000	1.022469	2
30131	12.894570	1.105694	3
1223	2.805989	0.723389	2
9306	6.465842	1.166978	2
7422	0.977508	0.513166	2
32922	1.185843	0.771879	1
74185	10.855935	0.535002	1
0	4.370709	0.110340	2
35962	3.810187	1.330866	1
4542	0.000000	0.386500	2
38346	13.611633	0.821138	3
36941	7.651841	0.025108	3
